name;essround;edition;proddate;idno;cntry;dweight;pspwght;pweight;anweight;prob;stratum;psu;trstprl;trstlgl;trstplc;trstplt;trstprt;rlgdnase;gndr;agea;edlvdse
ESS10SCe03_1;10;03.янв;02.11.2023;11495;SE;1;1.1564288;0.3734804;0.4319035;0.00072224496;2557;24731;2;3;8;2;2;6666;1;37;13
ESS10SCe03_1;10;03.янв;02.11.2023;11509;SE;1;0.82882804;0.3734804;0.30955103;0.00072224496;2561;25676;10;10;10;8;9;2;2;64;13
ESS10SCe03_1;10;03.янв;02.11.2023;11518;SE;1;1.665556;0.3734804;0.62205255;0.00072224496;2560;25640;3;0;3;3;2;6666;2;17;3
ESS10SCe03_1;10;03.янв;02.11.2023;11525;SE;1;0.58705235;0.3734804;0.21925256;0.00072224496;2561;25871;7;8;7;7;8;6666;2;63;9
ESS10SCe03_1;10;03.янв;02.11.2023;11546;SE;1;0.577988;0.3734804;0.2158672;0.00072224496;2559;25316;6;7;7;5;4;2;1;57;13
ESS10SCe03_1;10;03.янв;02.11.2023;11563;SE;1;0.82882804;0.3734804;0.30955103;0.00072224496;2561;25864;6;6;6;4;4;9999;2;999;18
ESS10SCe03_1;10;03.янв;02.11.2023;11611;SE;1;0.5933003;0.3734804;0.22158603;0.00072224496;2563;26446;2;3;5;1;1;6666;1;60;6
ESS10SCe03_1;10;03.янв;02.11.2023;11614;SE;1;1.6304747;0.3734804;0.6089504;0.00072224496;2561;26074;0;0;5;3;4;6666;1;18;5
ESS10SCe03_1;10;03.янв;02.11.2023;11622;SE;1;0.49273452;0.3734804;0.18402669;0.00072224496;2561;25766;4;4;6;0;0;9999;1;76;2
ESS10SCe03_1;10;03.янв;02.11.2023;11678;SE;1;0.81680244;0.3734804;0.3050597;0.00072224496;2557;24449;6;7;6;1;2;6666;2;71;13
ESS10SCe03_1;10;03.янв;02.11.2023;11713;SE;1;1.5314736;0.3734804;0.5719754;0.00072224496;2562;26332;4;6;8;3;3;6666;2;49;9
ESS10SCe03_1;10;03.янв;02.11.2023;11733;SE;1;2.406221;0.3734804;0.8986764;0.00072224496;2558;25002;4;5;8;3;4;6666;1;28;3
ESS10SCe03_1;10;03.янв;02.11.2023;11760;SE;1;1.3567085;0.3734804;0.50670403;0.00072224496;2558;26217;5;8;8;2;4;6666;1;46;9
ESS10SCe03_1;10;03.янв;02.11.2023;11867;SE;1;1.501565;0.3734804;0.5608051;0.00072224496;2558;26225;3;5;6;3;4;6666;1;33;5
ESS10SCe03_1;10;03.янв;02.11.2023;11911;SE;1;0.978959;0.3734804;0.365622;0.00072224496;2558;25110;7;8;9;7;6;6666;2;33;9
ESS10SCe03_1;10;03.янв;02.11.2023;11970;SE;1;1.0659263;0.3734804;0.3981026;0.00072224496;2557;24649;2;2;9;0;2;6666;2;45;14
ESS10SCe03_1;10;03.янв;02.11.2023;12033;SE;1;1.5971646;0.3734804;0.5965097;0.00072224496;2557;24860;9;8;10;6;7;2;2;16;3
ESS10SCe03_1;10;03.янв;02.11.2023;12100;SE;1;0.56276417;0.3734804;0.21018139;0.00072224496;2557;24358;5;5;5;2;2;2;1;84;12
ESS10SCe03_1;10;03.янв;02.11.2023;12123;SE;1;2.2804868;0.3734804;0.8517172;0.00072224496;2564;26547;8;9;5;4;4;2;2;40;3
ESS10SCe03_1;10;03.янв;02.11.2023;12131;SE;1;0.9961043;0.3734804;0.37202543;0.00072224496;2558;25107;7;7;7;5;5;6666;2;38;17
ESS10SCe03_1;10;03.янв;02.11.2023;12144;SE;1;1.1115698;0.3734804;0.41514954;0.00072224496;2560;25561;6;7;7;5;5;2;2;38;13
ESS10SCe03_1;10;03.янв;02.11.2023;12181;SE;1;1.6206791;0.3734804;0.6052919;0.00072224496;2561;26094;6;6;9;5;5;2;2;15;2
ESS10SCe03_1;10;03.янв;02.11.2023;12193;SE;1;0.60330796;0.3734804;0.2253237;0.00072224496;2560;25416;4;99;7;4;5;6666;2;69;9
ESS10SCe03_1;10;03.янв;02.11.2023;12199;SE;1;0.81680244;0.3734804;0.3050597;0.00072224496;2557;24407;8;10;8;7;8;6666;2;76;13
ESS10SCe03_1;10;03.янв;02.11.2023;12208;SE;1;0.48558536;0.3734804;0.18135662;0.00072224496;2557;24465;5;5;7;2;4;2;1;68;3
ESS10SCe03_1;10;03.янв;02.11.2023;12209;SE;1;1.0659263;0.3734804;0.3981026;0.00072224496;2557;24642;3;7;7;2;3;6666;2;46;5555
ESS10SCe03_1;10;03.янв;02.11.2023;12210;SE;1;0.82882804;0.3734804;0.30955103;0.00072224496;2561;25820;4;6;7;1;1;6666;2;70;14
ESS10SCe03_1;10;03.янв;02.11.2023;12221;SE;1;0.53959477;0.3734804;0.20152807;0.00072224496;2559;25264;5;5;5;5;4;6666;2;70;3
ESS10SCe03_1;10;03.янв;02.11.2023;12232;SE;1;1.0475795;0.3734804;0.39125043;0.00072224496;2557;24835;5;5;8;5;5;6666;2;20;5
ESS10SCe03_1;10;03.янв;02.11.2023;12277;SE;1;0.81680244;0.3734804;0.3050597;0.00072224496;2557;24426;9;8;8;7;6;2;2;74;13
ESS10SCe03_1;10;03.янв;02.11.2023;12289;SE;1;1.5244571;0.3734804;0.5693549;0.00072224496;2561;25979;4;1;9;0;3;6666;2;42;8
ESS10SCe03_1;10;03.янв;02.11.2023;12325;SE;1;1.4039301;0.3734804;0.5243404;0.00072224496;2558;24984;4;5;6;1;2;6666;2;54;6
ESS10SCe03_1;10;03.янв;02.11.2023;12334;SE;1;1.086598;0.3734804;0.40582308;0.00072224496;2562;26341;3;2;5;3;2;6666;2;37;12
ESS10SCe03_1;10;03.янв;02.11.2023;12346;SE;1;2.570156;0.3734804;0.95990294;0.00072224496;2557;24648;6;3;7;5;5;6666;1;45;3
ESS10SCe03_1;10;03.янв;02.11.2023;12364;SE;1;1.1235374;0.3734804;0.41961923;0.00072224496;2558;24930;6;5;6;4;4;6666;2;29;18
ESS10SCe03_1;10;03.янв;02.11.2023;12380;SE;1;0.81680244;0.3734804;0.3050597;0.00072224496;2557;24432;4;3;5;3;3;2;2;79;17
ESS10SCe03_1;10;03.янв;02.11.2023;12383;SE;1;0.49872133;0.3734804;0.18626265;0.00072224496;2559;25164;9;8;8;9;8;6666;1;64;3
ESS10SCe03_1;10;03.янв;02.11.2023;12446;SE;1;1.4518075;0.3734804;0.54222167;0.00072224496;2557;24606;0;5;5;5;5;6666;1;51;8
ESS10SCe03_1;10;03.янв;02.11.2023;12521;SE;1;0.8388983;0.3734804;0.31331208;0.00072224496;2559;25257;7;8;9;4;4;2;2;76;12
ESS10SCe03_1;10;03.янв;02.11.2023;12538;SE;1;1.3848716;0.3734804;0.5172224;0.00072224496;2564;26602;7;3;7;2;2;6666;2;51;4
ESS10SCe03_1;10;03.янв;02.11.2023;12542;SE;1;0.58705235;0.3734804;0.21925256;0.00072224496;2561;25737;7;10;10;5;5;2;2;84;6
ESS10SCe03_1;10;03.янв;02.11.2023;12545;SE;1;0.53959477;0.3734804;0.20152807;0.00072224496;2559;25268;99;3;4;99;4;6666;2;68;3
ESS10SCe03_1;10;03.янв;02.11.2023;12587;SE;1;0.6900318;0.3734804;0.25771338;0.00072224496;2564;26521;9;8;9;7;8;2;1;73;7
ESS10SCe03_1;10;03.янв;02.11.2023;12650;SE;1;1.1564288;0.3734804;0.4319035;0.00072224496;2557;24613;7;9;7;4;3;6666;1;50;14
ESS10SCe03_1;10;03.янв;02.11.2023;12670;SE;1;1.1115698;0.3734804;0.41514954;0.00072224496;2560;25538;5;5;7;5;3;8;2;43;17
ESS10SCe03_1;10;03.янв;02.11.2023;12726;SE;1;0.52590096;0.3734804;0.19641371;0.00072224496;2558;25027;7;9;9;3;2;6666;1;78;17
ESS10SCe03_1;10;03.янв;02.11.2023;12783;SE;1;0.5331174;0.3734804;0.19910891;0.00072224496;2561;25654;7;7;8;4;5;6666;2;82;2
ESS10SCe03_1;10;03.янв;02.11.2023;12792;SE;1;0.50637835;0.3734804;0.1891224;0.00072224496;2560;25394;5;8;10;7;5;6666;1;73;2
ESS10SCe03_1;10;03.янв;02.11.2023;12870;SE;1;0.49500233;0.3734804;0.18487367;0.00072224496;2562;26301;5;5;5;5;5;6666;1;72;3
ESS10SCe03_1;10;03.янв;02.11.2023;12890;SE;1;1.5429797;0.3734804;0.5762727;0.00072224496;2559;25232;5;5;9;5;5;6666;2;52;10
ESS10SCe03_1;10;03.янв;02.11.2023;12923;SE;1;0.50637835;0.3734804;0.1891224;0.00072224496;2560;25450;0;0;3;0;0;2;1;64;3
ESS10SCe03_1;10;03.янв;02.11.2023;12989;SE;1;0.69952786;0.3734804;0.26125994;0.00072224496;2558;24904;4;4;5;3;2;6666;1;61;4
ESS10SCe03_1;10;03.янв;02.11.2023;13072;SE;1;1.4910814;0.3734804;0.55688965;0.00072224496;2559;25179;5;5;9;5;5;1;1;50;4
ESS10SCe03_1;10;03.янв;02.11.2023;13082;SE;1;1.6206791;0.3734804;0.6052919;0.00072224496;2561;26089;8;8;9;7;4;1;2;999;3
ESS10SCe03_1;10;03.янв;02.11.2023;13120;SE;1;0.5331174;0.3734804;0.19910891;0.00072224496;2561;25833;99;99;8;99;99;6666;2;68;3
